song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var,energy,valence
 Faded,89.10290948275862,114883,1276.477777777778,0.2985993027687073,0.2980990707874298,0.08886305242776871,0.3344974815845489,0.27853673696517944,0.0775827094912529,0.21271284619657946,0.1951578294516612,0.03808657839628367,9.346989631652832,71.03720092773438,5046.2841796875,2.263724565505981,45.87710952758789,2104.709228515625,0.009893379174172878,2.3377399444580083,5.465028285980225,0.18475119769573206,0.0881735309958458,0.007774571422487496,1888.4567630270315,1021.7196952731205,1043911.1357089978,2106.1917171752693,831.8717997038565,692010.6911425332,22.29118700593457,5.9700867128462525,35.64193535890337,3918.4138058877948,2363.729076809543,5587215.148554893,2.07418120019636,2.5388835150245286,6.445929502863308,-0.058751883016274764,0.17152341478441366,0.029420281819306008,0.0841988483818692,0.05137727871424863,0.002639624768081585,0.0004324637120589614,0.1787833720445633,0.03196349367499352,2.002356995944865e-05,0.05481035262346269,0.003004174679517746,2.5658049886621317,1.9589785531322668,3.83759697163219,0.651,0.166
Force Alan Walker,103.359375,126325,1403.611111111111,0.2839892506599426,0.2994116544723511,0.0896473377943039,0.3197852373123169,0.2679052352905273,0.0717732161283493,0.2147184187050548,0.1929490450925687,0.0372293340021341,5.537130832672119,66.45439910888672,4416.18701171875,-1.2627099752426147,47.70444869995117,2275.714599609375,0.011684907600283623,2.0182464122772217,4.0733184814453125,0.13525395095348358,0.0914599671959877,0.008364925161004066,2444.802359874409,1056.1496843763307,1115452.1558082232,2263.0907815847268,901.6289468875196,812934.757865498,22.62588186927255,7.0631970790414655,49.888752977379895,5022.990459997221,2477.397347259431,6137497.616208065,1.4969489540238217,2.011028494247862,4.044235604676822,-0.029778551969954888,0.15702881235214436,0.02465804790872497,0.11481223091621515,0.05333220343335039,0.0028443239230562713,2.3513464384450344e-06,0.14363911747932434,0.0206321943551302,0.00027323258109390736,0.046718716621398926,0.002182638505473733,10.224907029478457,7.8930233382900585,62.29981741879156,0.544,0.263
Viking Death March,143.5546875,185299,1286.798611111111,0.4656038880348206,0.2836443781852722,0.08045413345098495,0.5892204642295837,0.21926313638687134,0.0480763204395771,0.2725790808792,0.09504724088780216,0.009033978000383892,17.355676651000973,94.73762512207031,8975.2177734375,6.22920036315918,27.87062263488769,776.7716064453125,0.0124185923486948,2.401160478591919,5.765571594238281,0.27140238881111145,0.09155828505754472,0.008382920175790787,2660.498137472001,643.8418073671869,414532.2729138458,2458.1753515076994,454.29007886093314,206379.4757514728,19.03217406886752,7.242487595071562,52.453626564765464,5462.2336372871505,1191.8172540091155,1420428.3669538288,4.026357389833411,4.504139568474528,20.287273252297908,0.010936491073740891,0.06346431278323257,0.0040277189970479785,0.13855452877080107,0.055691205071601,0.0031015103223271164,-3.988158368883887e-06,0.18447130918502808,0.03402966260910033,-0.0003003341844305397,0.140969380736351,0.01987236738204956,7.2214058956916105,3.0068989560600983,9.041441331955307,0.963,0.371
 Castle,112.34714673913044,139068,1275.8532110091744,0.392741322517395,0.30471786856651306,0.09285297989845276,0.43465131521224976,0.3007262051105499,0.09043624252080916,0.23337695396521024,0.16990741799949013,0.028868530691253464,13.397098541259766,161.08641052246094,25948.830078125,3.2379167079925537,35.82835006713867,1283.6707763671875,0.013256208039820194,2.4481029510498047,5.993208408355713,0.20893047749996185,0.11975036561489105,0.01434015017002821,2161.6442880682753,891.3554638073673,794514.5628592469,2481.956496902693,633.0291352433819,400725.886066984,20.591978154040245,7.108870338396982,50.53603748814045,4898.557879090678,2043.4028484043079,4175495.20086684,2.217108562670949,2.7034969667846536,7.308895849413822,0.011059159023820892,0.15624759744009092,0.024413311705800703,0.07355076462122677,0.051606778895632026,0.0026632596279826514,-1.8136475773644634e-05,0.20123174786567688,0.040494218468666084,8.501529373461379e-05,0.0847134217619896,0.007176363840699195,1.9493151927437644,1.0054930770784112,1.011016328052612,0.834,0.471
 Thrill of It,112.34714673913044,136924,1256.1834862385322,0.37915363907814026,0.30657368898391724,0.09398742765188216,0.4431411921977997,0.2839343249797821,0.0806187093257904,0.2408203226783146,0.15918198867474226,0.02533890551844576,10.027095794677734,133.41868591308594,17800.546875,-1.3744831085205078,44.6605110168457,1994.5611572265625,0.01212539989501238,3.3791511058807373,11.418662071228027,0.17187538743019104,0.12043361365795135,0.014504255726933481,2053.368038160645,968.5988423320443,938183.7173669769,2269.528509296593,657.485541724722,432287.2375770511,20.422317473982247,7.00082924105716,49.01161006244098,4366.431930116823,2150.2795446240816,4623702.120028748,1.8262332391206308,2.4706525590660906,6.104124067619822,0.004352078577685209,0.14202557509640168,0.02017126398146363,0.08028863015189629,0.06376170130542072,0.004065554553361692,0.003079429268836975,0.15092916786670685,0.022779613733291626,0.002513892948627472,0.1011267825961113,0.010226626880466938,3.291428571428572,2.1022315813117043,4.419377621464308,0.675,0.398
 By My Side,107.666015625,139323,1290.0277777777776,0.30482643842697144,0.2969955503940582,0.08820635825395584,0.38267040252685547,0.27738696336746216,0.0769435241818428,0.2322462496594743,0.17144973856043774,0.029395012852442462,16.183284759521484,97.4856414794922,9503.4501953125,1.8295536041259768,32.00404739379883,1024.259033203125,0.01407836191356182,2.5516934394836426,6.511139392852782,0.2561573386192322,0.09622789174318314,0.00925980694591999,2337.6920121424373,748.8785747719638,560819.1197524877,2490.6498128137478,444.4692769630431,197552.93816405028,21.81532702585489,6.381831875012335,40.72777808092345,4964.678312602796,1666.6299022991755,2777655.23123776,3.1652275120013194,3.751450907947017,14.0733839147365,0.01626060525838295,0.1572624459726511,0.02473147691330101,0.09763905433678406,0.05081059969325518,0.0025817170411882237,9.455129656998906e-06,0.21578030288219446,0.046561140567064285,-0.00015125307254493234,0.10731011629104614,0.011515461839735508,3.214802721088436,1.7067136587850755,2.9128715130835405,0.355,0.261
23 NCS,73.828125,90874,1244.849315068493,0.29990535974502563,0.30588746070861816,0.0935671329498291,0.3375159800052643,0.27943578362464905,0.07808434963226317,0.2296018810714104,0.17497516835769375,0.03061630954180327,12.80215549468994,90.97379302978516,8276.23046875,-1.8597348928451536,43.15185546875,1862.0826416015625,0.010435673408210278,2.8041586875915527,7.8633060455322275,0.21749162673950195,0.0913352593779564,0.008342129178345203,1666.5468522171036,708.2613067557863,501634.07864741405,2097.7843816354734,557.4955201352717,310801.2549708971,23.17907448828755,7.1204243577256605,50.70044303409289,3456.8790967250397,1807.7035465803199,3267792.1123190657,2.230417483658284,2.7470865454548616,7.546484488219129,0.026548488470224108,0.1751464260039238,0.030676270541947964,0.058147418609713626,0.02970962217222837,0.0008826616496165636,1.3866614608559756e-05,0.1958591192960739,0.03836079686880112,-4.471456486498937e-05,0.0784064456820488,0.0061475704424083216,2.917587301587301,1.5896814921508031,2.527087246486804,0.339,0.569
Savannah Diviners,103.359375,109347,1163.2659574468084,0.2823643982410431,0.2986968755722046,0.08921981602907181,0.3401958644390106,0.2972245812416077,0.08834244310855865,0.2154394010049838,0.19214369057543132,0.03691919782794712,7.434577941894531,50.10778045654297,2510.789794921875,-5.66419792175293,36.91227340698242,1362.5159912109375,0.004671352915465832,2.8191726207733154,7.9477338790893555,0.17113646864891052,0.0809297189116478,0.006549619138240814,2500.8089513822424,1094.8305382700707,1198653.907528733,2357.1684774831438,551.9419198449974,304639.8828821816,21.694508908945288,7.212533054159636,52.02063305734534,4997.39061479598,2041.798092609516,4168939.450983857,1.966304891754872,2.464569592450771,6.07410327603296,0.0898633612835261,0.18539879017642485,0.034372711398882004,0.11760000695385064,0.08466371518671409,0.007167944669217041,-7.321356861211825e-06,0.1592610329389572,0.02536407858133316,-6.803142605349423e-05,0.07141651213169098,0.005100318696349859,3.6014149659863954,1.7968539523223128,3.2286841259763164,0.776,0.387
Goodbye Linko,143.5546875,183911,1425.666666666667,0.3419873118400574,0.3161200284957886,0.09993187338113783,0.38042691349983215,0.28934046626091003,0.08371789753437042,0.2324810103254481,0.17113127467354478,0.02928591317139223,12.906463623046875,163.8692626953125,26853.13671875,-6.978747367858888,45.016944885253906,2026.5252685546875,0.008920597843825817,3.9613459110260014,15.692261695861815,0.19717516005039207,0.13778768479824066,0.01898544654250145,2271.9650282856946,826.7213863973981,683468.250726836,2346.7308392933555,565.5074900248377,319798.72127419204,20.95320079040213,6.920708931923714,47.89621212040867,4658.259332143116,1908.5822984110669,3642686.389808072,2.1660837418311547,3.0234371735334813,9.141172342304127,-0.05262351278987863,0.15580387104323812,0.02427484623205797,0.09708936000386996,0.0627198611447503,0.003933780982016757,6.5288108999084216e-06,0.17654402554035187,0.031167792156338688,0.00015403234283439818,0.11957581341266632,0.01429837476462126,10.159891156462583,2.1562384830490333,4.6493643957815936,0.635,0.476
 The Labyrinth,135.99917763157896,172538,1268.6617647058827,0.33013638854026794,0.3099050521850586,0.09604113548994064,0.4050692915916443,0.2848255634307861,0.08112560957670213,0.2340823095576313,0.1689343235861161,0.028538805685498582,14.544672012329102,137.88630676269528,19012.634765625,-0.4702769815921784,32.177539825439446,1035.3941650390623,0.009755730628967285,2.2149605751037598,4.906050682067871,0.22515183687210089,0.12312948703765868,0.015160870738327503,2860.2137332336165,808.5308095105522,653722.0699277893,2742.661909872073,530.3728523825215,281295.3625443719,21.349219983056358,7.1398690985045405,50.97773074378005,6178.295974022833,1723.4004731225662,2970109.190759085,2.67537128984574,3.4239551426640875,11.723468818975851,0.0382651034827294,0.1487107103252203,0.022114875365431583,0.11895865331124228,0.06421335129919979,0.004123354485074443,3.6379569792188704e-05,0.20953235030174253,0.04390380531549454,0.00023110910842660806,0.08981341123580933,0.00806644931435585,2.3626303854875284,1.5276872978815383,2.333828480108596,0.522,0.102
American Rejects ,135.99917763157896,173560,1276.1764705882354,0.403063029050827,0.29424893856048584,0.08658244460821153,0.5374578833580017,0.2469916641712189,0.0610048845410347,0.26942063833345997,0.10366220609906154,0.010745852973324314,14.035921096801758,73.9615478515625,5470.31103515625,6.407379150390625,23.99162483215332,575.5980834960938,0.012892588041722776,2.6374900341033936,6.956353187561035,0.2471099942922592,0.0776410922408104,0.006028139498084784,2916.9807001032787,693.2894252816124,480650.2272073083,2764.0382217584065,351.1474463661219,123304.52908944848,19.44533803877676,6.373735422965107,40.62450324196017,6207.1707994207145,1203.4331182591789,1448251.2701230112,3.487817833176172,3.967138673798325,15.738189257146328,0.02261341143843281,0.07608586188247199,0.005789058378398603,0.13977069677583204,0.05961907528451831,0.003554434137781061,-5.5548225645907215e-06,0.1804346740245819,0.032556671649217606,-8.921407425077632e-05,0.12529098987579346,0.015697833150625232,3.292589569160998,1.7086889217571786,2.9196178313357093,0.691,0.552
 Close To The Sun,89.10290948275862,108705,1531.056338028169,0.3488340377807617,0.3223553895950317,0.10391300171613692,0.439906507730484,0.29602840542793274,0.08763281255960463,0.24197229367592074,0.15742535509423922,0.024782742426547308,12.08996868133545,100.41569519042969,10083.3125,-5.553259372711182,39.96717834472656,1597.3753662109375,0.006657104939222336,3.0902607440948486,9.549711227416992,0.2030562907457352,0.12269984930753708,0.015055253170430659,2769.876901582109,1010.1715582224223,1020446.5770415172,2566.23952377792,530.4360474379724,281362.4004216191,22.04396269077339,7.29946742187672,53.28222464303958,5612.153564075198,1898.0400518609613,3602556.0384683623,2.1904969221398867,2.9822764045208583,8.893972552961857,-0.01916445282922143,0.14279815965594073,0.02039131440112353,0.13767112519349844,0.08802131128295156,0.007747751239970254,2.4373690393986177e-05,0.16566362977027893,0.02744443900883197,0.00010685718734748662,0.13667374849319458,0.01867971196770668,11.84565986394558,1.248950292003719,1.5598768318961749,0.884,0.355
